	fc	p
RP11-34P13.15	-3.475339932	0.31
RP11-34P13.13	-6.64385619	0.68
FO538757.1	-2.164330341	0.97
AP006222.2	-6.64385619	0.09
MTND1P23	0.555507799	0.13
MTND2P28	5.559716956	0.9
MTCO1P12	2.947292868	0.81
MIR6723	-6.64385619	0.96
MTCO2P12	-0.024554857	0.19
MTATP8P1	0.233726411	0.3
MTATP6P1	7.259197055	0.54
MTCO3P12	1.218027194	0.74
RP11-206L10.2	-2.208459592	0.12
RP11-206L10.9	-3.066613705	1
RP11-206L10.8	0.159680883	0.07
LINC01128	1.462531484	0.85
LINC00115	-2.371490995	0.78
RP11-54O7.3	-4.678073124	0.34
SAMD11	-3.601001702	0.5
NOC2L	1.571805949	0.64
KLHL17	-2.282897242	0
PERM1	3.163720214	0.42
RP11-54O7.17	-2.23472314	0.97
HES4	1.285968923	0.41
ISG15	1.250836867	0.8
AGRN	-0.07068165	0.01
C1orf159	-1.850914662	0.82
TTLL10	-6.64385619	0.41
TNFRSF4	-1.96916179	0.89
SDF4	2.477830106	0.52
B3GALT6	0.654698597	0.37
FAM132A	-3.694104089	0.8
RP5-902P8.12	-6.64385619	0.8
UBE2J2	0.41016628	0.04
RP5-902P8.10	-0.482659609	0.93
SCNN1D	-3.121195991	0.26
ACAP3	0.915828446	0.47
PUSL1	-1.015075063	0.38
CPSF3L	1.383116357	0.25
RP5-890O3.9	-0.654672901	0.45
CPTP	2.06627406	0.81
TAS1R3	-3.994841624	0.86
DVL1	2.108614479	0.81
MXRA8	1.355358367	0.23
AURKAIP1	3.239557739	0.57
CCNL2	2.655075952	0.12
RP4-758J18.2	0.75070675	0.85
MRPL20	2.914734793	0.86
RP4-758J18.13	-1.447976281	0.46
ANKRD65	-3.303630475	0.54
RP4-758J18.10	-2.719805858	0.58
VWA1	-0.036729454	0.62
ATAD3C	-5.311894947	0.08
ATAD3B	-0.739269225	0.65
ATAD3A	0.073039575	0.39
TMEM240	-2.129100829	0.6
SSU72	1.443378766	0.67
RP5-832C2.5	-4.690902066	0.57
FNDC10	-2.692593976	0.92
RP11-345P4.9	0.575523294	0.68
MIB2	0.344134291	0.72
MMP23B	-0.570055521	0.75
CDK11B	0.496817709	0.64
SLC35E2B	0.121716815	0.16
CDK11A	-2.499443509	0.23
RP1-283E3.8	-2.503841098	0.78
SLC35E2	-2.10895414	0.66
NADK	0.156854493	0.9
GNB1	3.527026528	0.41
RP1-140A9.1	-3.706634839	0.41
CALML6	-4.796071993	0.94
TMEM52	-4.385322484	0.47
GABRD	-4.597944865	0.59
PRKCZ	-0.336026365	0.65
RP11-181G12.2	-1.629721443	0.87
FAAP20	-1.696832064	0.16
SKI	2.035061073	0.24
MORN1	-2.349130008	0.59
RP4-740C4.5	-2.640293979	0.97
RP4-740C4.7	-3.105053968	0.06
RER1	2.028927225	0.74
PEX10	1.142365235	0.05
PLCH2	-6.002652626	0.02
PANK4	1.095252909	0.28
HES5	-6.64385619	0.96
RP3-395M20.12	-2.382867381	0.4
RP3-395M20.8	-3.34402215	0.05
TNFRSF14	-0.853906647	0.84
RP3-395M20.9	-3.232705454	0.61
FAM213B	-1.019631907	0.68
TTC34	-4.109882506	0.26
LINC00982	1.388066592	0.61
PRDM16	-0.142881478	0.54
RP11-193J6.1	-1.619141348	0.33
RP11-22L13.1	-3.648737725	0.93
ARHGEF16	-4.979780306	0.41
MEGF6	-2.271315773	0.96
RP11-46F15.2	-6.64385619	0.35
TPRG1L	2.960307385	0.97
WRAP73	-0.782690925	0.47
TP73-AS1	0.920730581	0.24
SMIM1	-1.143372888	0.4
LRRC47	2.65287464	0.53
CEP104	1.378084924	0.91
DFFB	-1.019483117	0.64
