	fc	p
	-3.475339932	0.31
	-6.64385619	0.68
	-2.164330341	0.97
	-6.64385619	0.09
	0.555507799	0.13
	5.559716956	0.9
	2.947292868	0.81
	-6.64385619	0.96
	-0.024554857000000003	0.19
	0.23372641100000002	0.3
	7.259197055	0.54
	1.218027194	0.74
	-2.208459592	0.12
	-3.066613705	1.0
	0.159680883	0.07
	1.462531484	0.85
	-2.371490995	0.78
	-4.678073124	0.34
	-3.601001702	0.5
	-2.2828972419999998	0.0
	-2.23472314	0.97
	1.285968923	0.41
	-0.07068165	0.01
	-1.8509146619999999	0.82
	-1.96916179	0.89
	2.477830106	0.52
	-3.6941040889999996	0.8
	-6.64385619	0.8
	-0.482659609	0.93
	0.9158284459999999	0.47
	-1.015075063	0.38
	-0.654672901	0.45
	2.06627406	0.81
	2.655075952	0.12
	0.75070675	0.85
	-1.4479762809999999	0.46
	-3.303630475	0.54
	-2.719805858	0.58
	-5.311894947	0.08
	0.073039575	0.39
	-2.129100829	0.6
	-4.6909020660000005	0.57
	-2.6925939760000004	0.92
	0.575523294	0.68
	-0.570055521	0.75
	0.121716815	0.16
	-2.503841098	0.78
	-2.10895414	0.66
	-3.706634839	0.41
	-4.796071993	0.94
	-4.385322484	0.47
	-4.597944865	0.59
	-1.6297214430000002	0.87
	-2.349130008	0.59
	-2.640293979	0.97
	-3.105053968	0.06
	2.028927225	0.74
	-2.382867381	0.4
	-3.34402215	0.05
	-3.232705454	0.61
	-4.109882506	0.26
	1.388066592	0.61
	-1.619141348	0.33
	-3.648737725	0.93
	-2.271315773	0.96
	-6.64385619	0.35
	2.960307385	0.97
	-0.782690925	0.47
	0.9207305809999999	0.24
	-1.143372888	0.4
	2.65287464	0.53
	1.3780849240000002	0.91
	-0.060804622	0.47
	-6.64385619	0.57
	-5.345727255	0.53
	-3.061197584	0.75
	0.6835878959999999	0.57
	2.933985711	0.64
	0.00041580400000000003	0.38
	0.200224292	0.83
	0.23110099399999998	0.82
	-0.17757747699999998	0.18
	-1.7332927	0.08
	0.969661923	0.61
	-0.5397155370000001	0.44
	-1.087541882	0.21
	2.564980784	0.9
	0.660873397	0.69
	-6.64385619	0.08
	-2.336278481	0.37
	3.351395887	0.9
	-3.381642322	0.47
	-0.7113175079999999	0.79
	0.821540178	0.5
	1.158285498	0.22
	-1.981189389	0.32
	-6.64385619	0.42
	1.216370887	1.0
	-2.176657038	0.11
	-2.6877306	0.71
	2.268837743	0.77
	-1.5617018319999998	0.66
	-3.083979567	0.76
	0.435608018	0.66
	-6.64385619	0.98
	3.4004614560000004	0.06
	2.244609926	0.64
	-2.764915065	0.79
	-0.38357606899999996	0.19
	2.593679028	0.2
	2.587758955	0.99
	-2.415406843	1.0
	0.18616122300000001	0.0
	-2.446365478	0.34
	1.595707126	0.76
	-6.64385619	0.22
	-4.04315819	0.04
	1.943386261	0.42
	0.6188769670000001	0.95
	-3.68989558	0.7
	-0.729548825	0.94
	-5.656671212000001	0.25
	-4.291502473	0.99
	1.012206148	0.78
	-2.4973345940000002	0.5
	-2.1752701	0.88
	6.351839378999999	0.5
	6.204215994	0.29
	-6.64385619	0.81
	4.6809889810000005	0.67
	1.6824172080000002	0.22
	0.651936341	0.85
	3.660773484	0.93
	-1.297139953	0.89
	-0.49508282299999995	0.43
	-3.951756357	0.73
	2.41391188	0.1
	-4.251854599	0.37
	-0.667727167	0.94
	-6.086889444	0.82
	-1.554996584	0.65
	-3.4267816460000002	0.4
	1.1395253029999999	0.37
	0.207978938	0.07
	1.41483286	0.97
	-1.181297094	0.04
	-6.64385619	0.67
	1.900577491	0.69
	2.916104158	0.7
	0.92476739	0.41
	-0.976622531	0.31
	-1.235319868	0.28
	2.751877186	0.06
	-3.845610512	0.93
	8.383728193	0.15
	-6.64385619	0.92
	-3.308211462	0.58
	-0.138963634	0.44
	1.76042865	0.71
	2.942374197	0.06
	-1.887369806	0.43
	-0.27802079	0.49
	0.887089673	0.76
	0.080509129	0.7
	-0.87421318	0.43
