	fc	p
RP11-34P13.15	-3.475339932	0.31
RP11-34P13.13	-6.64385619	0.68
FO538757.1	-2.164330341	0.97
AP006222.2	-6.64385619	0.09
MTND1P23	0.555507799	0.13
MTND2P28	5.559716956	0.9
MTCO1P12	2.947292868	0.81
MIR6723	-6.64385619	0.96
MTCO2P12	-0.024554857	0.19
MTATP8P1	0.233726411	0.3
MTATP6P1	7.259197055	0.54
MTCO3P12	1.218027194	0.74
RP11-206L10.2	-2.208459592	0.12
RP11-206L10.9	-3.066613705	1.0
RP11-206L10.8	0.159680883	0.07
LINC01128	1.462531484	0.85
LINC00115	-2.371490995	0.78
RP11-54O7.3	-4.678073124	0.34
SAMD11	-3.601001702	0.5
KLHL17	-2.282897242	0.0
RP11-54O7.17	-2.23472314	0.97
HES4	1.285968923	0.41
AGRN	-0.07068165	0.01
C1ORF159	-1.850914662	0.82
TNFRSF4	-1.96916179	0.89
SDF4	2.477830106	0.52
FAM132A	-3.694104089	0.8
RP5-902P8.12	-6.64385619	0.8
RP5-902P8.10	-0.482659609	0.93
ACAP3	0.915828446	0.47
PUSL1	-1.015075063	0.38
RP5-890O3.9	-0.654672901	0.45
CPTP	2.06627406	0.81
DVL1	2.108614479	0.81
MXRA8	1.355358367	0.23
CCNL2	2.655075952	0.12
RP4-758J18.2	0.75070675	0.85
RP4-758J18.13	-1.447976281	0.46
ANKRD65	-3.303630475	0.54
RP4-758J18.10	-2.719805858	0.58
VWA1	-0.036729454	0.62
ATAD3C	-5.311894947	0.08
ATAD3A	0.073039575	0.39
TMEM240	-2.129100829	0.6
RP5-832C2.5	-4.690902066	0.57
FNDC10	-2.692593976	0.92
RP11-345P4.9	0.575523294	0.68
MMP23B	-0.570055521	0.75
SLC35E2B	0.121716815	0.16
RP1-283E3.8	-2.503841098	0.78
SLC35E2	-2.10895414	0.66
RP1-140A9.1	-3.706634839	0.41
CALML6	-4.796071993	0.94
TMEM52	-4.385322484	0.47
GABRD	-4.597944865	0.59
PRKCZ	-0.336026365	0.65
RP11-181G12.2	-1.629721443	0.87
MORN1	-2.349130008	0.59
RP4-740C4.5	-2.640293979	0.97
RP4-740C4.7	-3.105053968	0.06
RER1	2.028927225	0.74
RP3-395M20.12	-2.382867381	0.4
RP3-395M20.8	-3.34402215	0.05
RP3-395M20.9	-3.232705454	0.61
TTC34	-4.109882506	0.26
LINC00982	1.388066592	0.61
RP11-193J6.1	-1.619141348	0.33
RP11-22L13.1	-3.648737725	0.93
MEGF6	-2.271315773	0.96
RP11-46F15.2	-6.64385619	0.35
TPRG1L	2.960307385	0.97
WRAP73	-0.782690925	0.47
TP73-AS1	0.920730581	0.24
SMIM1	-1.143372888	0.4
LRRC47	2.65287464	0.53
CEP104	1.378084924	0.91
C1ORF174	-0.060804622	0.47
LINC01134	-6.64385619	0.57
AJAP1	-5.345727255	0.53
CHD5	-3.061197584	0.75
RP1-120G22.11	0.683587896	0.57
RNF207	2.933985711	0.64
GPR153	0.000415804	0.38
ZBTB48	0.200224292	0.83
PHF13	0.231100994	0.82
THAP3	-0.177577477	0.18
RP11-312B8.1	-1.7332927	0.08
CAMTA1	0.969661923	0.61
RP11-338N10.3	-0.539715537	0.44
RP3-467L1.6	-1.087541882	0.21
PER3	2.564980784	0.9
PARK7	4.048499217	0.77
ERRFI1	0.660873397	0.69
RP11-431K24.1	-6.64385619	0.08
SLC45A1	-2.336278481	0.37
RERE	3.351395887	0.9
RP5-1115A15.1	-3.381642322	0.47
RPL7P7	-0.711317508	0.79
RP4-633I8.4	1.158285498	0.22
ENO1-IT1	-1.981189389	0.32
RP3-477M7.6	-6.64385619	0.42
GPR157	1.216370887	1.0
